Palette: 36
Subregion: Drowned Pantheon
Room Setting Templates: Interior, Exterior, DarkExterior, Bog
Room_Attr: GATE_SH_DP: BigNeedleWorm-2,
Room_Attr: DP_IN03: BlackLizard-3,LanternMouse-3,BigSpider-3,SpitterSpider-3,
Room_Attr: DP_basiccon: BlackLizard-3,LanternMouse-3,BigSpider-3,SpitterSpider-3,
Room_Attr: DP_LE05: YellowLizard-3,Vulture-3,CicadaA-3,CicadaB-3,Centiwing-3,KingVulture-3,
Room_Attr: DP_DE04: YellowLizard-3,Vulture-3,CicadaA-3,CicadaB-3,Centiwing-3,KingVulture-3,
Room_Attr: DP_DEA08: Vulture-3,CicadaA-3,CicadaB-3,Centiwing-3,KingVulture-3,
Room_Attr: DP_LEA07: Vulture-3,CicadaA-3,CicadaB-3,Centiwing-3,BigNeedleWorm-2,KingVulture-3,
Room_Attr: DP_LEA04: Vulture-3,CicadaA-3,CicadaB-3,Centiwing-3,BigNeedleWorm-2,KingVulture-3,
Room_Attr: DP_bridgetosec: YellowLizard-3,Vulture-3,CicadaA-3,CicadaB-3,Centiwing-3,KingVulture-3,
Room_Attr: DP_belltower: Vulture-3,CicadaA-3,CicadaB-3,Centiwing-3,KingVulture-3,
Room_Attr: DP_DE07: YellowLizard-3,BlackLizard-3,Vulture-4,LanternMouse-3,CicadaA-4,CicadaB-4,Centiwing-4,Scavenger-3,BigSpider-3,SpitterSpider-3,KingVulture-4,
Room_Attr: DP_pipedown: BlackLizard-3,Vulture-3,LanternMouse-3,CicadaA-3,CicadaB-3,Centiwing-3,BigSpider-3,SpitterSpider-3,KingVulture-3,
Room_Attr: DP_LES08: YellowLizard-2,BlackLizard-3,LanternMouse-3,BigSpider-3,SpitterSpider-3,
Room_Attr: DP_brokensegment: YellowLizard-3,Vulture-3,CicadaA-3,CicadaB-3,Centiwing-3,Scavenger-3,BigNeedleWorm-2,KingVulture-3,
Room_Attr: DP_bellwall: YellowLizard-3,BlackLizard-3,Salamander-3,Vulture-3,LanternMouse-3,CicadaA-3,CicadaB-3,Centiwing-3,Scavenger-3,BigSpider-3,SpitterSpider-3,BigNeedleWorm-2,KingVulture-3,
Room_Attr: DP_FIA10: YellowLizard-3,BlackLizard-3,Salamander-3,LanternMouse-3,BigSpider-3,SpitterSpider-3,
Room_Attr: DP_FI05: YellowLizard-3,BlackLizard-3,LanternMouse-3,BigSpider-3,SpitterSpider-3,
Room_Attr: DP_FE03: YellowLizard-3,BlackLizard-3,Salamander-3,LanternMouse-3,Scavenger-3,BigSpider-3,SpitterSpider-3,
Room_Attr: DP_IN04: BlackLizard-3,LanternMouse-3,BigSpider-3,SpitterSpider-3,
Room_Attr: DP_IN05: YellowLizard-3,
Room_Attr: DP_FIA07: BlackLizard-3,Salamander-3,Snail-4,LanternMouse-3,BigSpider-3,SpitterSpider-3,BigNeedleWorm-2,
Room_Attr: DP_FEA06: BlackLizard-3,Salamander-3,Snail-4,LanternMouse-3,BigSpider-3,SpitterSpider-3,BigNeedleWorm-2,
Room_Attr: DP_FE02: Salamander-3,Snail-4,
Room_Attr: DP_FEA07: Salamander-3,Snail-4,
Room_Attr: DP_FE05: YellowLizard-3,Salamander-3,Snail-4,
Room_Attr: DP_FI04: BlackLizard-3,Salamander-3,Snail-4,LanternMouse-3,BigSpider-3,SpitterSpider-3,BigNeedleWorm-2,
Room_Attr: DP_FIA09: BlackLizard-3,Salamander-3,Snail-4,LanternMouse-3,BigSpider-3,SpitterSpider-3,BigNeedleWorm-2,
Room_Attr: DP_FIA08: BlackLizard-3,Salamander-3,Snail-4,LanternMouse-3,BigSpider-3,SpitterSpider-3,BigNeedleWorm-2,
Room_Attr: DP_FI02: BlackLizard-3,Salamander-3,Snail-4,LanternMouse-3,BigSpider-3,SpitterSpider-3,BigNeedleWorm-2,
Room_Attr: DP_IN01: BlackLizard-3,LanternMouse-3,BigSpider-3,SpitterSpider-3,
Room_Attr: DP_FE04: Salamander-3,Snail-4,Vulture-3,CicadaA-3,CicadaB-3,Centiwing-3,KingVulture-3,
Room_Attr: DP_FE01: YellowLizard-2,Salamander-3,Snail-4,Vulture-3,CicadaA-3,CicadaB-3,Centiwing-3,KingVulture-3,
Room_Attr: DP_TBA06: Salamander-3,Snail-4,Vulture-3,CicadaA-3,CicadaB-3,Centiwing-3,KingVulture-3,
Room_Attr: DP_TB02: BlackLizard-3,Salamander-3,Snail-4,Vulture-3,LanternMouse-3,CicadaA-3,CicadaB-3,Centiwing-3,Scavenger-3,BigSpider-3,SpitterSpider-3,KingVulture-3,
Room_Attr: DP_TB03: BlackLizard-3,Salamander-3,Snail-4,Vulture-3,LanternMouse-3,CicadaA-3,CicadaB-3,Centiwing-3,Scavenger-3,BigSpider-3,SpitterSpider-3,KingVulture-3,
Room_Attr: DP_INA06: Snail-4,
Room_Attr: DP_LE03: Salamander-3,Snail-4,Vulture-3,CicadaA-3,CicadaB-3,Centiwing-3,BigNeedleWorm-2,KingVulture-3,
Room_Attr: DP_TB05: Salamander-3,Snail-4,Vulture-3,CicadaA-3,CicadaB-3,Centiwing-3,BigNeedleWorm-2,KingVulture-3,
Room_Attr: DP_BOGGATE: Vulture-3,CicadaA-3,CicadaB-3,Centiwing-3,BigNeedleWorm-2,KingVulture-3,
