ROOMS
GATE_DS_DP : DISCONNECTED, DP_DE04 : GATE
GATE_SB_DP :  : GATE
GATE_DP_SH :  : GATE
DP_DE04 : GATE_DS_DP
DP_DE07 : DISCONNECTED
DP_DEA08 : DISCONNECTED
DP_FE01 : DISCONNECTED
DP_FE02 : DISCONNECTED
DP_FE03 : DISCONNECTED
DP_FE04 : DISCONNECTED
DP_FE05 : DISCONNECTED
DP_FEA06 : DISCONNECTED
DP_FEA07 : DISCONNECTED
DP_FIS01 : DISCONNECTED
DP_FI02 : DISCONNECTED
DP_FI03 : DISCONNECTED
DP_FI04 : DISCONNECTED
DP_FI05 : DISCONNECTED
DP_FI06 : DISCONNECTED
DP_FIA07 : DISCONNECTED
DP_FIA08 : DISCONNECTED
DP_FIA09 : DISCONNECTED
DP_IN01 : DISCONNECTED
DP_IN03 : DISCONNECTED
DP_IN04 : DISCONNECTED
DP_IN05 : DISCONNECTED
DP_INA06 : DISCONNECTED
DP_IN07 : DISCONNECTED
DP_LE03 : DISCONNECTED
DP_LEA04 : DISCONNECTED
DP_LE05 : DISCONNECTED
DP_LEA07 : DISCONNECTED
DP_LES08 : DISCONNECTED
DP_LE09 : DISCONNECTED
DP_TB01 : DISCONNECTED
DP_TB02 : DISCONNECTED
DP_TB03 : DISCONNECTED
DP_TB05 : DISCONNECTED
DP_TBA06 : DISCONNECTED
END ROOMS

CREATURES
END CREATURES

BAT MIGRATION BLOCKAGES
END BAT MIGRATION BLOCKAGES
